date,fed
01.02.93,3.03
01.03.93,3.07
01.04.93,2.96
01.05.93,3
01.06.93,3.04
01.07.93,3.06
01.08.93,3.03
01.09.93,3.09
01.10.93,2.99
01.11.93,3.02
01.12.93,2.96
01.01.94,3.05
01.02.94,3.25
01.03.94,3.34
01.04.94,3.56
01.05.94,4.01
01.06.94,4.25
01.07.94,4.26
01.08.94,4.47
01.09.94,4.73
01.10.94,4.76
01.11.94,5.29
01.12.94,5.45
01.01.95,5.53
01.02.95,5.92
01.03.95,5.98
01.04.95,6.05
01.05.95,6.01
01.06.95,6
01.07.95,5.85
01.08.95,5.74
01.09.95,5.8
01.10.95,5.76
01.11.95,5.8
01.12.95,5.6
01.01.96,5.56
01.02.96,5.22
01.03.96,5.31
01.04.96,5.22
01.05.96,5.24
01.06.96,5.27
01.07.96,5.4
01.08.96,5.22
01.09.96,5.3
01.10.96,5.24
01.11.96,5.31
01.12.96,5.29
01.01.97,5.25
01.02.97,5.19
01.03.97,5.39
01.04.97,5.51
01.05.97,5.5
01.06.97,5.56
01.07.97,5.52
01.08.97,5.54
01.09.97,5.54
01.10.97,5.5
01.11.97,5.52
01.12.97,5.5
01.01.98,5.56
01.02.98,5.51
01.03.98,5.49
01.04.98,5.45
01.05.98,5.49
01.06.98,5.56
01.07.98,5.54
01.08.98,5.55
01.09.98,5.51
01.10.98,5.07
01.11.98,4.83
01.12.98,4.68
01.01.99,4.63
01.02.99,4.76
01.03.99,4.81
01.04.99,4.74
01.05.99,4.74
01.06.99,4.76
01.07.99,4.99
01.08.99,5.07
01.09.99,5.22
01.10.99,5.2
01.11.99,5.42
01.12.99,5.3
01.01.00,5.45
01.02.00,5.73
01.03.00,5.85
01.04.00,6.02
01.05.00,6.27
01.06.00,6.53
01.07.00,6.54
01.08.00,6.5
01.09.00,6.52
01.10.00,6.51
01.11.00,6.51
01.12.00,6.4
01.01.01,5.98
01.02.01,5.49
01.03.01,5.31
01.04.01,4.8
01.05.01,4.21
01.06.01,3.97
01.07.01,3.77
01.08.01,3.65
01.09.01,3.07
01.10.01,2.49
01.11.01,2.09
01.12.01,1.82
01.01.02,1.73
01.02.02,1.74
01.03.02,1.73
01.04.02,1.75
01.05.02,1.75
01.06.02,1.75
01.07.02,1.73
01.08.02,1.74
01.09.02,1.75
01.10.02,1.75
01.11.02,1.34
01.12.02,1.24
01.01.03,1.24
01.02.03,1.26
01.03.03,1.25
01.04.03,1.26
01.05.03,1.26
01.06.03,1.22
01.07.03,1.01
01.08.03,1.03
01.09.03,1.01
01.10.03,1.01
01.11.03,1
01.12.03,0.98
01.01.04,1
01.02.04,1.01
01.03.04,1
01.04.04,1
01.05.04,1
01.06.04,1.03
01.07.04,1.26
01.08.04,1.43
01.09.04,1.61
01.10.04,1.76
01.11.04,1.93
01.12.04,2.16
01.01.05,2.28
01.02.05,2.5
01.03.05,2.63
01.04.05,2.79
01.05.05,3
01.06.05,3.04
01.07.05,3.26
01.08.05,3.5
01.09.05,3.62
01.10.05,3.78
01.11.05,4
01.12.05,4.16
01.01.06,4.29
01.02.06,4.49
01.03.06,4.59
01.04.06,4.79
01.05.06,4.94
01.06.06,4.99
01.07.06,5.24
01.08.06,5.25
01.09.06,5.25
01.10.06,5.25
01.11.06,5.25
01.12.06,5.24
01.01.07,5.25
01.02.07,5.26
01.03.07,5.26
01.04.07,5.25
01.05.07,5.25
01.06.07,5.25
01.07.07,5.26
01.08.07,5.02
01.09.07,4.94
01.10.07,4.76
01.11.07,4.49
01.12.07,4.24
01.01.08,3.94
01.02.08,2.98
01.03.08,2.61
01.04.08,2.28
01.05.08,1.98
01.06.08,2
01.07.08,2.01
01.08.08,2
01.09.08,1.81
01.10.08,0.97
01.11.08,0.39
01.12.08,0.16
01.01.09,0.15
01.02.09,0.22
01.03.09,0.18
01.04.09,0.15
01.05.09,0.18
01.06.09,0.21
01.07.09,0.16
01.08.09,0.16
01.09.09,0.15
01.10.09,0.12
01.11.09,0.12
01.12.09,0.12
01.01.10,0.11
01.02.10,0.13
01.03.10,0.16
01.04.10,0.2
01.05.10,0.2
01.06.10,0.18
01.07.10,0.18
01.08.10,0.19
01.09.10,0.19
01.10.10,0.19
01.11.10,0.19
01.12.10,0.18
01.01.11,0.17
01.02.11,0.16
01.03.11,0.14
01.04.11,0.1
01.05.11,0.09
01.06.11,0.09
01.07.11,0.07
01.08.11,0.1
01.09.11,0.08
01.10.11,0.07
01.11.11,0.08
01.12.11,0.07
01.01.12,0.08
01.02.12,0.1
01.03.12,0.13
01.04.12,0.14
01.05.12,0.16
01.06.12,0.16
01.07.12,0.16
01.08.12,0.13
01.09.12,0.14
01.10.12,0.16
01.11.12,0.16
01.12.12,0.16
01.01.13,0.14
01.02.13,0.15
01.03.13,0.14
01.04.13,0.15
01.05.13,0.11
01.06.13,0.09
01.07.13,0.09
01.08.13,0.08
01.09.13,0.08
01.10.13,0.09
01.11.13,0.08
01.12.13,0.09
01.01.14,0.07
01.02.14,0.07
01.03.14,0.08
01.04.14,0.09
01.05.14,0.09
01.06.14,0.1
01.07.14,0.09
01.08.14,0.09
01.09.14,0.09
01.10.14,0.09
01.11.14,0.09
01.12.14,0.12
01.01.15,0.11
01.02.15,0.11
01.03.15,0.11
01.04.15,0.12
01.05.15,0.12
01.06.15,0.13
01.07.15,0.13
01.08.15,0.14
01.09.15,0.14
01.10.15,0.12
01.11.15,0.12
01.12.15,0.24
01.01.16,0.34
01.02.16,0.38
01.03.16,0.36
01.04.16,0.37
01.05.16,0.37
01.06.16,0.38
01.07.16,0.39
01.08.16,0.4
01.09.16,0.4
01.10.16,0.4
01.11.16,0.41
01.12.16,0.54
01.01.17,0.65
01.02.17,0.66
01.03.17,0.79
01.04.17,0.9
01.05.17,0.91
01.06.17,1.04
01.07.17,1.15
01.08.17,1.16
01.09.17,1.15
01.10.17,1.15
01.11.17,1.16
01.12.17,1.3
01.01.18,1.41
01.02.18,1.42
01.03.18,1.51
01.04.18,1.69
01.05.18,1.7
01.06.18,1.82
01.07.18,1.91
01.08.18,1.91
01.09.18,1.95
01.10.18,2.19
01.11.18,2.2
01.12.18,2.27
01.01.19,2.4
01.02.19,2.4
01.03.19,2.41
01.04.19,2.42
01.05.19,2.39
01.06.19,2.38
01.07.19,2.4
01.08.19,2.13
01.09.19,2.04
01.10.19,1.83
01.11.19,1.55
01.12.19,1.55
01.01.20,1.55
01.02.20,1.58
01.03.20,0.65
01.04.20,0.05
01.05.20,0.05
01.06.20,0.08
01.07.20,0.09
01.08.20,0.1
01.09.20,0.09
01.10.20,0.09
01.11.20,0.09
01.12.20,0.09
01.01.21,0.09
01.02.21,0.08
01.03.21,0.07
01.04.21,0.07
01.05.21,0.06
01.06.21,0.08
01.07.21,0.1
01.08.21,0.09
01.09.21,0.08
01.10.21,0.08
01.11.21,0.08
01.12.21,0.08
01.01.22,0.08
01.02.22,0.08
01.03.22,0.2
01.04.22,0.33
01.05.22,0.77
01.06.22,1.21
01.07.22,1.68
01.08.22,2.33
01.09.22,2.56
01.10.22,3.08
01.11.22,3.78
01.12.22,4.1
01.01.23,4.33
01.02.23,4.57
01.03.23,4.65
01.04.23,4.83
01.05.23,5.06
01.06.23,5.08
01.07.23,5.12
01.08.23,5.33
01.09.23,5.33
01.10.23,5.33
01.11.23,5.33
01.12.23,5.33